Comment,Designator,Footprint,LCSC,Quantity
0.1uF,"C2,C29,C30,C31,C4,C5",C_0603_1608Metric,C14663,6
100K,R1,R_0603_1608Metric,C25803,1
100R,"R10,R11,R14",R_0603_1608Metric,C22775,3
100nF,"C13,C16,C19,C6",C_0603_1608Metric,C14663,4
10K,"R12,R15,R18,R20,R22,R24,R5,R6",R_0603_1608Metric,C25804,8
10uF,C3,C_0603_1608Metric,C96446,1
150R,R26,R_0603_1608Metric,C22808,1
1K,R9,R_0603_1608Metric,C21190,1
1uF,"C1,C10,C11,C12,C14,C15,C21,C22,C8,C9",C_0603_1608Metric,C15849,10
2.2uH,L1,L_0603_1608Metric,C394950,1
20K,R4,R_0603_1608Metric,C4184,1
220R,"R16,R17,R19,R21,R23",R_0603_1608Metric,C22962,5
22uF,"C24,C25,C26,C27,C28",C_0603_1608Metric,C59461,5
33.2K,R13,R_0603_1608Metric,C23003,1
4.7K,"R27,R7,R8",R_0603_1608Metric,C23162,3
4.7uF,C23,C_0603_1608Metric,C19666,1
47R,R25,R_0603_1608Metric,C23182,1
5.1k,"R2,R3",R_0603_1608Metric,C23186,2
750 mA,F1,Fuse_0603_1608Metric,C914092,1
8A,F2,Fuse_2920_7451Metric,C48392676,1
AO3400A,"Q1,Q3,Q4,Q5,Q6,Q7",SOT-23,C20917,6
AOD4184A,Q2,TO-252-2,C99124,1
ATtiny1616-S,U8,SOIC-20W_7.5x12.8mm_P1.27mm,C614136,1
AudioPlug3,J3,Jack_3.5mm_CUI_SJ1-3523N_Horizontal,C20182914,1
BH1750,J4,XDCR_BH1750FVI-TR,C78960,1
BLM15PX121SN1D,"L3,L4",L_0402_1005Metric,C882964,2
CR2032,J9,BatteryHolder_MYOUNG_BS-07-A1BJ001_CR2032,C2979167,1
D,D1,D_SOD-323,C151996,1
ES7243,U2,QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm,C2929446,1
ESP32-S3-WROOM-1,U1,ESP32-S3-WROOM-1,C2913198,1
ICS-43434,MK1,InvenSense_ICS-43434-6_3.5x2.65mm,C5656610,1
LM5050-1,U5,TSOT-23-6,C129323,1
SMBJ15A,D2,D_SMB,C19077569,1
SS34,D4,D_SMA,C8678,1
SW_Push,"SW3,SW4",SW_TS-1088-AR02016,C720477,2
SW_Push_45deg,"SW10,SW11,SW12,SW13,SW14,SW15,SW2,SW5,SW6,SW7,SW8,SW9",SW_TS-1088-AR02016,C720477,12
Screw_Terminal_01x02,J7,Altech_AK100_1x02_P5.00mm,C474900,1
TPS563201,U4,SOT-23-6,C116592,1
TSAL4400,D3,LED_D3.0mm_IRBlack,C94135,1
TSOP38238,J5,PinHeader_1x03_P2.54mm_Vertical,C141632,1
USBLC6-2P6,U6,SOT-666,C15999,1
USB_C_Receptacle_USB2.0_16P,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948,1
Conn_01x03,J10,PinHeader_1x03_P1.27mm_Vertical,,1
PIR,J2,PinHeader_1x03_P2.54mm_Vertical,,1
Conn_02x03_Counter_Clockwise,J8,PinHeader_1x06_P2.54mm_Vertical,,1
